year,week,Distance,Pace_min_per_km,elevation_per_km
2025,20,46.67,9.883397171237371,35.15074741352338
2025,21,48.08,7.9909188412952625,38.95171606775716
2025,22,39.580000000000005,8.811580137432006,68.00861540326206
2025,23,23.43,7.310956972715341,36.20475472112318
2025,24,30.529999999999998,7.065307439710149,25.974986728576333
2025,25,29.86,7.83157202323185,17.670418970814843
2025,26,33.58,9.050820232688485,53.68353002598944
2025,27,31.03,7.049922307964788,44.08887532684266
2025,28,20.96,8.206145846708088,55.52753355802374
2025,29,14.14,18.816713483146067,57.68793472445158
2025,30,37.45,7.1697428501270295,32.34182440586531
2025,31,42.660000000000004,7.120073333235202,23.74488542715703
2025,32,42.94,7.034960848425409,10.0353095753739
2025,33,40.769999999999996,6.668958709777378,18.878531760097204
2025,34,11.22,9.062882809309922,57.036624053773906
2025,35,33.22,8.681447342535659,39.32835583907482
2025,36,36.16,8.267891355723313,34.04652851027602
2025,37,18.44,7.975621639133464,37.433564447957934
2025,38,21.79,7.551126703387365,37.10185478885599
2025,39,20.89,6.307126025356482,22.261676048817893
2025,40,22.49,12.821729957805907,75.48198636806232
2025,41,22.03,6.574834634450499,15.638199094851794
2025,42,24.41,7.3813859868955465,32.807092394855594
2025,43,42.88,7.307533656912665,31.210422268930657
2025,44,38.17,6.076482593003331,21.8284250535837
2025,45,16.38,6.779381063787533,10.101219891842709
2025,46,19.009999999999998,6.408035347307851,16.276202219482123
2025,48,27.759999999999998,6.908909536950124,28.0979729645618
2025,49,11.93,23.18524727577536,102.68231349538978
2025,50,20.97,6.338940519954389,17.88687327604114
2025,51,15.5,8.689723587851011,58.15763353184913
2025,52,16.86,7.973185064958741,28.62285550996941
2026,1,11.370000000000001,15.414796954881341,5.978166231330788
2026,2,15.93,7.9108606557377055,40.59867591424969
2026,4,39.95,6.391875762434855,22.753318943502187
2026,5,26.59,7.0773310392592395,31.4535298736169
2026,6,33.58,10.78511920040625,39.960374266475654
2026,7,8.41,7.764565992865636,34.83947681331748
2026,8,9.94,8.150570087189806,42.756539235412475
2026,9,20.18,7.239304045163599,22.468494797496163
2026,11,29.04,7.152502486253746,32.8397577788889
2026,12,51.08,5.8683976307259424,11.784838722889672
2026,13,8.39,11.992254174397031,25.914347557204703
2026,15,31.080000000000002,7.616851717277799,25.59628409342448
2026,16,14.68,6.336820394663496,23.98584116838233
